Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
2 Jul 2008,India,Karachi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,47.0,1.0,4.7
4 Jul 2008,Bangladesh,Karachi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,19.0,2.0,2.28
14 Nov 2008,West Indies,Abu Dhabi,0,0,0,0,0,4.0,6.0,5.0,1.0,0.0,80.0,9.0,1.0,38.0,1.0,4.22
16 Nov 2008,West Indies,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,35.0,0.0,3.5
24 Jan 2009,Sri Lanka,Lahore,1,1,0,0,1,2.0,7.0,8.0,0.0,0.0,25.0,9.0,0.0,51.0,0.0,5.66
22 Apr 2009,Australia,Dubai (DSC),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,19.0,2.0,1.9
24 Apr 2009,Australia,Dubai (DSC),0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,37.0,1.0,5.28
27 Apr 2009,Australia,Abu Dhabi,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,42.0,0.0,4.66
1 May 2009,Australia,Abu Dhabi,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,20.0,0.0,2.0
3 May 2009,Australia,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,1.0,4.0
30 Jul 2009,Sri Lanka,Dambulla,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,1.0,4.0
1 Aug 2009,Sri Lanka,Dambulla,0,0,0,0,0,16.0,33.0,23.0,1.0,0.0,69.56,6.0,0.0,21.0,0.0,3.5
3 Aug 2009,Sri Lanka,Dambulla,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,54.0,2.0,6.0
7 Aug 2009,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,24.0,2.0,3.42
9 Aug 2009,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.0,0.0,4.14
23 Sep 2009,West Indies,Johannesburg,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,2.0,4.0
26 Sep 2009,India,Centurion,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,8.5,0.0,31.0,2.0,3.5
30 Sep 2009,Australia,Centurion,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,31.0,2.0,3.1
3 Oct 2009,New Zealand,Johannesburg,1,1,0,0,1,14.0,26.0,17.0,2.0,0.0,82.35,8.0,0.0,39.0,2.0,4.87
3 Nov 2009,New Zealand,Abu Dhabi,0,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,7.2,0.0,18.0,2.0,2.45
6 Nov 2009,New Zealand,Abu Dhabi,0,0,0,0,0,3.0,5.0,3.0,0.0,0.0,100.0,10.0,0.0,59.0,0.0,5.9
9 Nov 2009,New Zealand,Abu Dhabi,1,1,0,0,1,33.0,71.0,44.0,2.0,0.0,75.0,10.0,0.0,33.0,4.0,3.3
22 Jan 2010,Australia,Brisbane,1,1,0,0,1,2.0,7.0,7.0,0.0,0.0,28.57,9.3,0.0,61.0,0.0,6.42
24 Jan 2010,Australia,Sydney,0,0,0,0,0,3.0,9.0,11.0,0.0,0.0,27.27,10.0,1.0,41.0,0.0,4.1
26 Jan 2010,Australia,Adelaide,0,0,0,0,0,8.0,16.0,10.0,1.0,0.0,80.0,10.0,0.0,41.0,1.0,4.1
29 Jan 2010,Australia,Perth,0,0,0,0,0,7.0,12.0,15.0,0.0,0.0,46.66,10.0,0.0,55.0,2.0,5.5
19 Jun 2010,India,Dambulla,0,0,0,0,0,0.0,2.0,3.0,0.0,0.0,0.0,10.0,0.0,56.0,3.0,5.6
10 Sep 2010,England,Chester-le-Street,0,0,0,0,0,9.0,10.0,8.0,1.0,0.0,112.5,9.0,0.0,58.0,4.0,6.44
12 Sep 2010,England,Leeds,0,0,0,0,0,4.0,2.0,4.0,0.0,0.0,100.0,10.0,0.0,52.0,2.0,5.2
17 Sep 2010,England,The Oval,0,0,0,0,0,2.0,1.0,3.0,0.0,0.0,66.66,9.0,0.0,42.0,1.0,4.66
20 Sep 2010,England,Lord's,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,2.0,4.42
22 Sep 2010,England,Southampton,0,0,0,0,0,2.0,6.0,2.0,0.0,0.0,100.0,8.0,0.0,50.0,0.0,6.25
29 Oct 2010,South Africa,Abu Dhabi,1,1,0,0,1,3.0,15.0,7.0,0.0,0.0,42.85,10.0,1.0,42.0,2.0,4.2
31 Oct 2010,South Africa,Abu Dhabi,0,0,0,0,0,1.0,2.0,2.0,0.0,0.0,50.0,5.0,0.0,35.0,0.0,7.0
2 Nov 2010,South Africa,Dubai (DSC),0,0,0,0,0,2.0,16.0,8.0,0.0,0.0,25.0,6.0,0.0,36.0,0.0,6.0
3 Mar 2011,Canada,Colombo (RPS),0,0,0,0,0,0.0,6.0,5.0,0.0,0.0,0.0,8.0,0.0,31.0,1.0,3.87
23 Mar 2011,West Indies,Dhaka,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,18.0,2.0,2.25
30 Mar 2011,India,Mohali,0,0,0,0,0,1.0,18.0,5.0,0.0,0.0,20.0,10.0,0.0,44.0,2.0,4.4
23 Apr 2011,West Indies,Gros Islet,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,24.0,1.0,2.4
25 Apr 2011,West Indies,Gros Islet,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,23.0,2.0,2.3
28 Apr 2011,West Indies,Bridgetown,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,29.0,3.0,3.34
2 May 2011,West Indies,Bridgetown,0,0,0,0,0,5.0,6.0,4.0,0.0,0.0,125.0,4.0,0.0,16.0,0.0,4.0
5 May 2011,West Indies,Providence,0,0,0,0,0,5.0,21.0,17.0,0.0,0.0,29.41,7.0,0.0,33.0,0.0,4.71
28 May 2011,Ireland,Belfast,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,3.0,2.33
30 May 2011,Ireland,Belfast,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,35.0,4.0,3.5
