Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
21 Jun 2010,Bangladesh,Dambulla,0,0,0,0,0,17.0,20.0,19.0,2.0,0.0,89.47,0.0,0.0,0.0,0.0,0.0
10 Sep 2010,England,Chester-le-Street,0,0,0,0,0,19.0,11.0,10.0,4.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0
12 Sep 2010,England,Leeds,0,0,0,0,0,50.0,70.0,58.0,3.0,1.0,86.2,0.0,0.0,0.0,0.0,0.0
17 Sep 2010,England,The Oval,0,0,0,0,0,40.0,93.0,59.0,4.0,0.0,67.79,0.0,0.0,0.0,0.0,0.0
20 Sep 2010,England,Lord's,0,0,0,0,0,11.0,24.0,18.0,1.0,0.0,61.11,0.0,0.0,0.0,0.0,0.0
22 Sep 2010,England,Southampton,0,0,0,0,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29 Oct 2010,South Africa,Abu Dhabi,0,0,0,0,0,19.0,30.0,36.0,3.0,0.0,52.77,0.0,0.0,0.0,0.0,0.0
31 Oct 2010,South Africa,Abu Dhabi,0,0,0,0,0,1.0,9.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2 Nov 2010,South Africa,Dubai (DSC),0,0,0,0,0,43.0,109.0,74.0,3.0,0.0,58.1,0.0,0.0,0.0,0.0,0.0
5 Nov 2010,South Africa,Dubai (DSC),1,1,0,0,1,36.0,0.0,48.0,3.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
22 Jan 2011,New Zealand,Wellington,1,1,0,0,1,4.0,11.0,12.0,1.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0
5 Feb 2011,New Zealand,Auckland,0,0,0,0,0,26.0,44.0,35.0,2.0,0.0,74.28,0.0,0.0,0.0,0.0,0.0
14 Mar 2011,Zimbabwe,Pallekele,0,0,0,0,0,78.0,136.0,97.0,7.0,0.0,80.41,0.0,0.0,0.0,0.0,0.0
19 Mar 2011,Australia,Colombo (RPS),0,0,0,0,0,46.0,148.0,81.0,5.0,0.0,56.79,0.0,0.0,0.0,0.0,0.0
23 Mar 2011,West Indies,Dhaka,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30 Mar 2011,India,Mohali,0,0,0,0,0,30.0,61.0,39.0,2.0,0.0,76.92,0.0,0.0,0.0,0.0,0.0
