Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
21 Jan 2008,Zimbabwe,Karachi,1,1,0,0,1,61.0,64.0,48.0,6.0,3.0,127.08,0.0,0.0,0.0,0.0,0.0
24 Jan 2008,Zimbabwe,Hyderabad (Sind),0,0,0,0,0,74.0,90.0,64.0,14.0,0.0,115.62,0.0,0.0,0.0,0.0,0.0
27 Jan 2008,Zimbabwe,Multan,0,0,0,0,0,32.0,81.0,49.0,3.0,1.0,65.3,0.0,0.0,0.0,0.0,0.0
30 Jan 2008,Zimbabwe,Faisalabad,0,0,0,0,0,11.0,18.0,14.0,2.0,0.0,78.57,0.0,0.0,0.0,0.0,0.0
2 Feb 2008,Zimbabwe,Sheikhupura,0,0,0,0,0,19.0,26.0,18.0,2.0,0.0,105.55,0.0,0.0,0.0,0.0,0.0
8 Apr 2008,Bangladesh,Lahore,0,0,0,0,0,20.0,31.0,17.0,4.0,0.0,117.64,0.0,0.0,0.0,0.0,0.0
11 Apr 2008,Bangladesh,Faisalabad,1,1,0,0,1,21.0,28.0,22.0,3.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0
2 Jul 2008,India,Karachi,1,1,0,0,1,53.0,99.0,43.0,9.0,0.0,123.25,0.0,0.0,0.0,0.0,0.0
4 Jul 2008,Bangladesh,Karachi,0,0,0,0,0,52.0,76.0,56.0,5.0,2.0,92.85,0.0,0.0,0.0,0.0,0.0
22 Apr 2009,Australia,Dubai (DSC),0,0,0,0,0,9.0,0.0,14.0,1.0,0.0,64.28,0.0,0.0,0.0,0.0,0.0
1 Aug 2009,Sri Lanka,Dambulla,1,1,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Aug 2009,Sri Lanka,Dambulla,0,0,0,0,0,1.0,6.0,3.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0
11 Mar 2012,Bangladesh,Dhaka,0,0,0,0,0,54.0,120.0,64.0,5.0,1.0,84.37,0.0,0.0,0.0,0.0,0.0
15 Mar 2012,Sri Lanka,Dhaka,1,1,0,0,1,18.0,39.0,25.0,3.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0
18 Mar 2012,India,Dhaka,0,0,0,0,0,112.0,159.0,104.0,10.0,1.0,107.69,0.0,0.0,0.0,0.0,0.0
