Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
30 Jul 2009,Sri Lanka,Dambulla,2,2,0,0,2,23.0,39.0,26.0,2.0,0.0,88.46,10.0,0.0,45.0,3.0,4.5
1 Aug 2009,Sri Lanka,Dambulla,0,0,0,0,0,24.0,38.0,32.0,3.0,0.0,75.0,9.4,2.0,31.0,1.0,3.2
3 Aug 2009,Sri Lanka,Dambulla,0,0,0,0,0,4.0,13.0,7.0,0.0,0.0,57.14,9.3,1.0,45.0,1.0,4.73
7 Aug 2009,Sri Lanka,Colombo (RPS),1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,34.0,0.0,6.8
9 Aug 2009,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,28.0,4.0,3.11
23 Sep 2009,West Indies,Johannesburg,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,24.0,3.0,3.42
26 Sep 2009,India,Centurion,0,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,46.0,2.0,5.75
3 Oct 2009,New Zealand,Johannesburg,0,0,0,0,0,19.0,30.0,20.0,4.0,0.0,95.0,10.0,2.0,32.0,1.0,3.2
3 Nov 2009,New Zealand,Abu Dhabi,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,15.0,1.0,2.14
6 Nov 2009,New Zealand,Abu Dhabi,1,1,0,0,1,12.0,22.0,15.0,2.0,0.0,80.0,10.0,0.0,64.0,1.0,6.4
9 Nov 2009,New Zealand,Abu Dhabi,1,1,0,0,1,73.0,107.0,81.0,7.0,3.0,90.12,8.3,0.0,41.0,2.0,4.82
22 Jan 2010,Australia,Brisbane,0,0,0,0,0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,29.0,1.0,3.22
24 Jan 2010,Australia,Sydney,0,0,0,0,0,4.0,12.0,9.0,0.0,0.0,44.44,9.0,0.0,53.0,3.0,5.88
