Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
18 Aug 2016,Ireland,Dublin (Malahide),1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,4.2
27 Aug 2016,England,Lord's,0,0,0,0,0,0.0,13.0,5.0,0.0,0.0,0.0,9.0,0.0,52.0,1.0,5.77
30 Aug 2016,England,Nottingham,0,0,0,0,0,4.0,9.0,13.0,0.0,0.0,30.76,10.0,0.0,74.0,2.0,7.4
1 Sep 2016,England,Leeds,0,0,0,0,0,9.0,37.0,19.0,0.0,0.0,47.36,10.0,0.0,53.0,1.0,5.3
4 Sep 2016,England,Cardiff,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0,4.0,6.0
30 Sep 2016,West Indies,Sharjah,0,0,0,0,0,2.0,3.0,3.0,0.0,0.0,66.66,5.4,0.0,14.0,3.0,2.47
2 Oct 2016,West Indies,Sharjah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,56.0,0.0,6.22
5 Oct 2016,West Indies,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0,2.16
13 Jan 2017,Australia,Brisbane,0,0,0,0,0,1.0,4.0,1.0,0.0,0.0,100.0,9.0,0.0,65.0,3.0,7.22
15 Jan 2017,Australia,Melbourne,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,29.0,1.0,4.14
19 Jan 2017,Australia,Perth,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,62.0,1.0,6.2
22 Jan 2017,Australia,Sydney,0,0,0,0,0,8.0,9.0,7.0,0.0,0.0,114.28,10.0,1.0,52.0,5.0,5.2
26 Jan 2017,Australia,Adelaide,0,0,0,0,0,13.0,14.0,10.0,0.0,1.0,130.0,9.0,0.0,100.0,2.0,11.11
7 Apr 2017,West Indies,Providence,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,43.0,0.0,8.6
9 Apr 2017,West Indies,Providence,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.0,38.0,5.0,4.3
11 Apr 2017,West Indies,Providence,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,29.0,1.0,4.83
4 Jun 2017,India,Birmingham,0,0,0,0,0,0.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,70.0,1.0,7.0
