Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
21 Sep 2018,Afghanistan,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,38.0,2.0,3.8
23 Sep 2018,India,Dubai (DSC),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,42.0,0.0,7.0
26 Sep 2018,Bangladesh,Abu Dhabi,0,0,0,0,0,14.0,0.0,20.0,0.0,1.0,70.0,10.0,1.0,47.0,2.0,4.7
7 Nov 2018,New Zealand,Abu Dhabi,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,46.0,4.0,5.75
9 Nov 2018,New Zealand,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,38.0,4.0,4.22
11 Nov 2018,New Zealand,Dubai (DSC),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,18.0,1.0,4.69
22 Jan 2019,South Africa,Durban,0,0,0,0,0,1.0,3.0,1.0,0.0,0.0,100.0,9.0,0.0,44.0,3.0,4.88
25 Jan 2019,South Africa,Centurion,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,37.0,0.0,6.16
27 Jan 2019,South Africa,Johannesburg,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,24.0,2.0,3.0
30 Jan 2019,South Africa,Cape Town,1,1,0,0,1,0.0,10.0,5.0,0.0,0.0,0.0,7.0,0.0,34.0,1.0,4.85
8 May 2019,England,The Oval,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11 May 2019,England,Southampton,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0,1.0,8.0
14 May 2019,England,Bristol,0,0,0,0,0,7.0,6.0,4.0,0.0,1.0,175.0,10.0,0.0,83.0,0.0,8.3
19 May 2019,England,Leeds,1,1,0,0,1,19.0,33.0,26.0,2.0,0.0,73.07,10.0,0.0,82.0,4.0,8.2
12 Jun 2019,Australia,Taunton,0,0,0,0,0,1.0,5.0,6.0,0.0,0.0,16.66,10.0,0.0,70.0,2.0,7.0
23 Jun 2019,South Africa,Lord's,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,54.0,1.0,6.75
26 Jun 2019,New Zealand,Birmingham,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,28.0,3.0,2.8
29 Jun 2019,Afghanistan,Leeds,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,47.0,4.0,4.7
5 Jul 2019,Bangladesh,Lord's,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,9.1,0.0,35.0,6.0,3.81
