Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
1 Nov 1996,Zimbabwe,Lahore,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1.0,29.0,2.0,3.86
3 Nov 1996,Zimbabwe,Peshawar,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,1.0,4.8
9 May 1997,New Zealand,Mohali,0,0,0,0,0,8.0,11.0,7.0,1.0,0.0,114.28,7.0,0.0,45.0,1.0,6.42
24 May 1997,Sri Lanka,Mohali,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,41.0,0.0,8.2
3 Apr 1998,South Africa,Durban,0,0,0,0,0,46.0,64.0,49.0,6.0,0.0,93.87,5.2,0.0,15.0,0.0,2.81
7 Apr 1998,Sri Lanka,Kimberley,0,0,0,0,0,15.0,48.0,32.0,2.0,0.0,46.87,8.0,0.0,51.0,1.0,6.37
9 Apr 1998,Sri Lanka,Paarl,0,0,0,0,0,22.0,23.0,25.0,0.0,1.0,88.0,5.0,0.0,16.0,1.0,3.2
11 Apr 1998,South Africa,East London,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,33.0,1.0,5.21
15 Apr 1998,Sri Lanka,Benoni,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,50.0,1.0,5.55
17 Apr 1998,South Africa,Centurion,0,0,0,0,0,0.0,2.0,1.0,0.0,0.0,0.0,2.3,0.0,13.0,0.0,5.2
23 Apr 1998,South Africa,Cape Town,0,0,0,0,0,6.0,49.0,28.0,0.0,0.0,21.42,2.0,0.0,17.0,0.0,8.5
12 Sep 1998,India,Toronto,0,0,0,0,0,3.0,8.0,6.0,0.0,0.0,50.0,10.0,0.0,53.0,1.0,5.3
13 Sep 1998,India,Toronto,1,1,0,0,1,1.0,7.0,9.0,0.0,0.0,11.11,10.0,0.0,48.0,3.0,4.8
24 Mar 1999,India,Jaipur,0,0,0,0,0,4.0,12.0,6.0,0.0,0.0,66.66,6.0,0.0,27.0,2.0,4.5
16 May 1999,West Indies,Bristol,0,0,0,0,0,7.0,35.0,34.0,1.0,0.0,20.58,10.0,3.0,32.0,3.0,3.2
20 May 1999,Scotland,Chester-le-Street,0,0,0,0,0,12.0,50.0,53.0,0.0,0.0,22.64,10.0,0.0,38.0,3.0,3.8
23 May 1999,Australia,Leeds,0,0,0,0,0,60.0,126.0,99.0,3.0,1.0,60.6,10.0,0.0,50.0,1.0,5.0
28 May 1999,New Zealand,Derby,1,1,0,0,1,33.0,92.0,82.0,4.0,0.0,40.24,8.0,0.0,36.0,0.0,4.5
5 Jun 1999,South Africa,Nottingham,0,0,0,0,0,30.0,76.0,60.0,2.0,0.0,50.0,10.0,1.0,40.0,0.0,4.0
8 Jun 1999,India,Manchester,0,0,0,0,0,11.0,22.0,12.0,0.0,1.0,91.66,10.0,0.0,40.0,1.0,4.0
