Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
3 Apr 2003,Zimbabwe,Sharjah,1,1,0,0,1,12.0,32.0,18.0,2.0,0.0,66.66,10.0,0.0,41.0,2.0,4.1
4 Apr 2003,Sri Lanka,Sharjah,1,1,0,0,1,50.0,116.0,103.0,3.0,0.0,48.54,5.0,0.0,26.0,0.0,5.2
8 Apr 2003,Kenya,Sharjah,0,0,0,0,0,36.0,71.0,58.0,4.0,1.0,62.06,3.0,1.0,4.0,1.0,1.33
10 Apr 2003,Zimbabwe,Sharjah,1,1,0,0,1,2.0,13.0,9.0,0.0,0.0,22.22,6.0,0.0,14.0,2.0,2.33
10 May 2003,Sri Lanka,Dambulla,1,1,0,0,1,53.0,176.0,114.0,2.0,0.0,46.49,3.0,1.0,5.0,1.0,1.66
11 May 2003,New Zealand,Dambulla,1,1,0,0,1,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 May 2003,Sri Lanka,Dambulla,1,1,0,0,1,20.0,44.0,38.0,1.0,1.0,52.63,2.0,0.0,8.0,0.0,4.0
20 May 2003,New Zealand,Dambulla,0,0,0,0,0,3.0,16.0,11.0,0.0,0.0,27.27,10.0,1.0,33.0,1.0,3.3
23 May 2003,New Zealand,Dambulla,0,0,0,0,0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,1.0,24.0,0.0,3.42
17 Jun 2003,England,Manchester,0,0,0,0,0,69.0,162.0,112.0,8.0,0.0,61.6,10.0,0.0,41.0,1.0,4.1
20 Jun 2003,England,The Oval,0,0,0,0,0,14.0,41.0,27.0,2.0,0.0,51.85,2.0,0.0,19.0,0.0,9.5
22 Jun 2003,England,Lord's,1,1,0,0,1,19.0,50.0,41.0,3.0,0.0,46.34,9.0,0.0,31.0,3.0,3.44
9 Sep 2003,Bangladesh,Multan,0,0,0,0,0,27.0,50.0,31.0,6.0,0.0,87.09,6.2,1.0,17.0,3.0,2.68
12 Sep 2003,Bangladesh,Faisalabad,0,0,0,0,0,26.0,55.0,36.0,4.0,0.0,72.22,3.0,0.0,21.0,0.0,7.0
15 Sep 2003,Bangladesh,Lahore,0,0,0,0,0,2.0,25.0,17.0,0.0,0.0,11.76,6.0,0.0,41.0,1.0,6.83
18 Sep 2003,Bangladesh,Rawalpindi,0,0,0,0,0,9.0,34.0,25.0,2.0,0.0,36.0,6.0,0.0,22.0,1.0,3.66
21 Sep 2003,Bangladesh,Karachi,0,0,0,0,0,44.0,95.0,64.0,7.0,0.0,68.75,9.0,0.0,54.0,0.0,6.0
3 Oct 2003,South Africa,Lahore,1,1,0,0,1,5.0,18.0,17.0,1.0,0.0,29.41,5.0,1.0,26.0,0.0,5.2
5 Oct 2003,South Africa,Lahore,0,0,0,0,0,7.0,25.0,19.0,1.0,0.0,36.84,10.0,0.0,37.0,3.0,3.7
7 Oct 2003,South Africa,Faisalabad,0,0,0,0,0,20.0,65.0,42.0,3.0,0.0,47.61,7.0,0.0,25.0,1.0,3.57
10 Oct 2003,South Africa,Rawalpindi,1,1,0,0,1,1.0,22.0,20.0,0.0,0.0,5.0,9.5,1.0,26.0,1.0,2.64
12 Oct 2003,South Africa,Rawalpindi,0,0,0,0,0,0.0,7.0,2.0,0.0,0.0,0.0,3.5,0.0,18.0,0.0,4.69
16 Jan 2005,Australia,Hobart,1,1,0,0,1,0.0,20.0,9.0,0.0,0.0,0.0,4.0,0.0,17.0,1.0,4.25
19 Jan 2005,West Indies,Brisbane,1,1,0,0,1,2.0,0.0,9.0,0.0,0.0,22.22,10.0,0.0,54.0,1.0,5.4
23 Jan 2005,Australia,Sydney,0,0,0,0,0,13.0,0.0,36.0,0.0,0.0,36.11,4.0,1.0,17.0,0.0,4.25
28 Jan 2005,West Indies,Adelaide,1,1,0,0,1,41.0,51.0,41.0,6.0,0.0,100.0,3.0,0.0,34.0,1.0,11.33
4 Feb 2005,Australia,Melbourne,1,1,0,0,1,13.0,0.0,39.0,2.0,0.0,33.33,8.0,0.0,38.0,0.0,4.75
6 Feb 2005,Australia,Sydney,0,0,0,0,0,6.0,27.0,25.0,1.0,0.0,24.0,10.0,0.0,34.0,1.0,3.4
2 Apr 2005,India,Kochi,0,0,0,0,0,42.0,102.0,75.0,1.0,2.0,56.0,9.3,0.0,59.0,0.0,6.21
5 Apr 2005,India,Visakhapatnam,0,0,0,0,0,7.0,11.0,7.0,1.0,0.0,100.0,7.0,0.0,55.0,2.0,7.85
30 Aug 2006,England,Cardiff,1,1,0,0,1,18.0,34.0,23.0,3.0,0.0,78.26,10.0,0.0,33.0,1.0,3.3
2 Sep 2006,England,Lord's,0,0,0,0,0,1.0,2.0,5.0,0.0,0.0,20.0,5.0,0.0,24.0,0.0,4.8
5 Sep 2006,England,Southampton,2,2,0,0,2,20.0,26.0,19.0,2.0,1.0,105.26,3.0,0.0,14.0,0.0,4.66
8 Sep 2006,England,Nottingham,0,0,0,0,0,8.0,6.0,8.0,2.0,0.0,100.0,4.2,0.0,21.0,1.0,4.84
10 Sep 2006,England,Birmingham,0,0,0,0,0,18.0,72.0,43.0,3.0,0.0,41.86,0.0,0.0,0.0,0.0,0.0
17 Oct 2006,Sri Lanka,Jaipur,0,0,0,0,0,22.0,21.0,15.0,3.0,0.0,146.66,7.0,0.0,24.0,1.0,3.42
25 Oct 2006,New Zealand,Mohali,0,0,0,0,0,43.0,61.0,46.0,8.0,0.0,93.47,0.0,0.0,0.0,0.0,0.0
27 Oct 2006,South Africa,Mohali,1,1,0,0,1,1.0,5.0,5.0,0.0,0.0,20.0,8.0,1.0,23.0,1.0,2.87
7 Dec 2006,West Indies,Faisalabad,0,0,0,0,0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,4.2
10 Dec 2006,West Indies,Lahore,0,0,0,0,0,31.0,60.0,43.0,2.0,1.0,72.09,3.0,0.0,13.0,0.0,4.33
13 Dec 2006,West Indies,Multan,0,0,0,0,0,1.0,10.0,7.0,0.0,0.0,14.28,5.0,0.0,12.0,0.0,2.4
16 Dec 2006,West Indies,Karachi,0,0,0,0,0,92.0,190.0,111.0,5.0,2.0,82.88,4.0,0.0,21.0,0.0,5.25
4 Feb 2007,South Africa,Centurion,0,0,0,0,0,21.0,14.0,17.0,3.0,0.0,123.52,9.0,0.0,69.0,2.0,7.66
14 Feb 2007,South Africa,Johannesburg,0,0,0,0,0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,4.5
13 Mar 2007,West Indies,Kingston,0,0,0,0,0,11.0,45.0,28.0,2.0,0.0,39.28,9.0,0.0,39.0,2.0,4.33
17 Mar 2007,Ireland,Kingston,2,2,0,0,2,4.0,5.0,6.0,1.0,0.0,66.66,4.0,0.0,15.0,1.0,3.75
22 May 2007,Sri Lanka,Abu Dhabi,1,1,0,0,1,34.0,0.0,43.0,7.0,0.0,79.06,10.0,0.0,55.0,2.0,5.5
18 Oct 2007,South Africa,Lahore,0,0,0,0,0,6.0,37.0,24.0,0.0,0.0,25.0,10.0,0.0,44.0,0.0,4.4
10 Sep 2010,England,Chester-le-Street,0,0,0,0,0,30.0,51.0,42.0,4.0,0.0,71.42,5.0,0.0,28.0,0.0,5.6
12 Sep 2010,England,Leeds,2,2,0,0,2,43.0,101.0,68.0,5.0,0.0,63.23,6.0,0.0,33.0,0.0,5.5
17 Sep 2010,England,The Oval,0,0,0,0,0,1.0,6.0,3.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0
20 Sep 2010,England,Lord's,0,0,0,0,0,64.0,122.0,100.0,5.0,1.0,64.0,7.0,0.0,27.0,0.0,3.85
22 Sep 2010,England,Southampton,0,0,0,0,0,29.0,52.0,42.0,5.0,0.0,69.04,9.0,1.0,40.0,1.0,4.44
29 Oct 2010,South Africa,Abu Dhabi,0,0,0,0,0,68.0,125.0,84.0,7.0,0.0,80.95,1.0,0.0,14.0,0.0,14.0
31 Oct 2010,South Africa,Abu Dhabi,0,0,0,0,0,30.0,85.0,42.0,3.0,0.0,71.42,10.0,0.0,49.0,1.0,4.9
2 Nov 2010,South Africa,Dubai (DSC),1,1,0,0,1,4.0,22.0,15.0,0.0,0.0,26.66,9.0,0.0,34.0,2.0,3.77
