Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
9 Jun 2012,Sri Lanka,Pallekele,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,34.0,0.0,8.5
1 Mar 2015,Zimbabwe,Brisbane,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,1.0,3.7
4 Mar 2015,U.A.E.,Napier,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,1.0,3.0
7 Mar 2015,South Africa,Auckland,0,0,0,0,0,1.0,8.0,6.0,0.0,0.0,16.66,8.0,1.0,40.0,3.0,5.0
15 Mar 2015,Ireland,Adelaide,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,48.0,2.0,4.8
20 Mar 2015,Australia,Adelaide,1,1,0,0,1,6.0,20.0,21.0,0.0,0.0,28.57,6.0,0.0,37.0,0.0,6.16
17 Apr 2015,Bangladesh,Dhaka,0,0,0,0,0,1.0,3.0,1.0,0.0,0.0,100.0,10.0,0.0,56.0,1.0,5.6
19 Apr 2015,Bangladesh,Dhaka,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,57.0,1.0,8.14
11 Jul 2015,Sri Lanka,Dambulla,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,44.0,2.0,5.5
15 Jul 2015,Sri Lanka,Pallekele,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,9.1,0.0,73.0,3.0,7.96
19 Jul 2015,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35.0,1.0,5.0
22 Jul 2015,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,39.0,1.0,5.57
26 Jul 2015,Sri Lanka,Hambantota,0,0,0,0,0,0.0,11.0,7.0,0.0,0.0,0.0,10.0,0.0,74.0,2.0,7.4
31 Jan 2016,New Zealand,Auckland,0,0,0,0,0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,54.0,0.0,7.71
