Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
14 Oct 1999,West Indies,Sharjah,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,34.0,2.0,4.25
15 Oct 1999,Sri Lanka,Sharjah,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,42.0,1.0,4.2
18 Oct 1999,Sri Lanka,Sharjah,1,1,0,0,1,3.0,0.0,2.0,0.0,0.0,150.0,8.4,0.0,36.0,2.0,4.15
19 Oct 1999,West Indies,Sharjah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.0,21.0,2.0,3.23
22 Oct 1999,Sri Lanka,Sharjah,1,1,0,0,1,12.0,0.0,7.0,0.0,1.0,171.42,6.0,1.0,30.0,2.0,5.0
28 Jan 2000,India,Perth,0,0,0,0,0,5.0,11.0,13.0,0.0,0.0,38.46,10.0,0.0,41.0,0.0,4.1
24 Mar 2000,South Africa,Sharjah,1,1,0,0,1,3.0,3.0,3.0,0.0,0.0,100.0,7.0,0.0,33.0,1.0,4.71
5 Jun 2000,Sri Lanka,Dhaka,2,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,46.0,0.0,5.11
9 Jul 2000,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,1.0,4.0
12 Jul 2000,South Africa,Colombo (SSC),0,0,0,0,0,28.0,116.0,68.0,1.0,0.0,41.17,8.0,0.0,30.0,1.0,3.75
8 Apr 2001,Sri Lanka,Sharjah,0,0,0,0,0,24.0,0.0,20.0,1.0,1.0,120.0,10.0,0.0,42.0,2.0,4.2
12 Apr 2001,New Zealand,Sharjah,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,48.0,0.0,4.8
13 Apr 2001,Sri Lanka,Sharjah,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,32.0,1.0,3.2
15 Apr 2001,New Zealand,Sharjah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,2.66
20 Apr 2001,Sri Lanka,Sharjah,0,0,0,0,0,44.0,0.0,75.0,2.0,0.0,58.66,8.0,0.0,56.0,1.0,7.0
12 Jun 2001,England,Lord's,0,0,0,0,0,9.0,15.0,8.0,0.0,0.0,112.5,4.0,0.0,39.0,0.0,9.75
27 Oct 2001,Sri Lanka,Sharjah,1,1,0,0,1,17.0,40.0,34.0,0.0,0.0,50.0,8.0,0.0,31.0,0.0,3.87
28 Oct 2001,Zimbabwe,Sharjah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,42.0,3.0,6.0
2 Nov 2001,Sri Lanka,Sharjah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,4.66
25 Jan 2002,Bangladesh,Dhaka,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.0,0.0,5.0
15 Feb 2002,West Indies,Sharjah,0,0,0,0,0,111.0,199.0,130.0,9.0,1.0,85.38,3.0,0.0,9.0,0.0,3.0
17 Feb 2002,West Indies,Sharjah,0,0,0,0,0,37.0,100.0,70.0,4.0,0.0,52.85,4.0,0.0,20.0,0.0,5.0
27 Apr 2002,New Zealand,Lahore,0,0,0,0,0,115.0,197.0,142.0,12.0,0.0,80.98,10.0,0.0,37.0,3.0,3.7
12 Jun 2002,Australia,Melbourne (Docklands),1,1,0,0,1,27.0,71.0,56.0,2.0,0.0,48.21,2.0,0.0,16.0,0.0,8.0
18 Aug 2002,South Africa,Tangier,0,0,0,0,0,12.0,40.0,40.0,2.0,0.0,30.0,1.0,0.0,15.0,0.0,15.0
30 Aug 2002,Australia,Nairobi (Gym),1,1,0,0,1,25.0,60.0,41.0,4.0,0.0,60.97,6.0,0.0,31.0,0.0,5.16
1 Sep 2002,Kenya,Nairobi (Gym),1,1,0,0,1,3.0,21.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
4 Sep 2002,Australia,Nairobi (Gym),0,0,0,0,0,1.0,15.0,14.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0
7 Sep 2002,Australia,Nairobi (Gym),0,0,0,0,0,37.0,137.0,94.0,3.0,1.0,39.36,0.0,0.0,0.0,0.0,0.0
12 Sep 2002,Sri Lanka,Colombo (RPS),0,0,0,0,0,1.0,7.0,7.0,0.0,0.0,14.28,5.0,0.0,24.0,0.0,4.8
21 Sep 2002,Netherlands,Colombo (SSC),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,26.0,1.0,3.25
3 Apr 2003,Zimbabwe,Sharjah,0,0,0,0,0,13.0,19.0,15.0,1.0,0.0,86.66,4.0,0.0,30.0,0.0,7.5
4 Apr 2003,Sri Lanka,Sharjah,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,36.0,1.0,3.6
8 Apr 2003,Kenya,Sharjah,0,0,0,0,0,76.0,72.0,58.0,7.0,1.0,131.03,8.0,1.0,42.0,1.0,5.25
10 Apr 2003,Zimbabwe,Sharjah,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.0,29.0,3.0,3.16
10 May 2003,Sri Lanka,Dambulla,1,1,0,0,1,20.0,27.0,14.0,1.0,0.0,142.85,10.0,1.0,23.0,2.0,2.3
11 May 2003,New Zealand,Dambulla,1,1,0,0,1,9.0,50.0,33.0,1.0,0.0,27.27,0.0,0.0,0.0,0.0,0.0
18 May 2003,Sri Lanka,Dambulla,0,0,0,0,0,33.0,60.0,54.0,1.0,0.0,61.11,8.0,1.0,30.0,2.0,3.75
20 May 2003,New Zealand,Dambulla,1,1,0,0,1,74.0,87.0,72.0,8.0,1.0,102.77,9.0,0.0,39.0,0.0,4.33
23 May 2003,New Zealand,Dambulla,1,1,0,0,1,34.0,42.0,45.0,6.0,0.0,75.55,7.0,0.0,30.0,0.0,4.28
17 Jun 2003,England,Manchester,0,0,0,0,0,24.0,33.0,26.0,3.0,0.0,92.3,10.0,2.0,26.0,3.0,2.6
20 Jun 2003,England,The Oval,0,0,0,0,0,2.0,13.0,12.0,0.0,0.0,16.66,0.0,0.0,0.0,0.0,0.0
22 Jun 2003,England,Lord's,0,0,0,0,0,23.0,49.0,46.0,1.0,0.0,50.0,7.0,0.0,26.0,1.0,3.71
9 Sep 2003,Bangladesh,Multan,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,22.0,0.0,3.66
12 Sep 2003,Bangladesh,Faisalabad,0,0,0,0,0,6.0,8.0,9.0,1.0,0.0,66.66,10.0,0.0,34.0,3.0,3.4
15 Sep 2003,Bangladesh,Lahore,0,0,0,0,0,21.0,20.0,18.0,0.0,2.0,116.66,9.0,0.0,46.0,0.0,5.11
18 Sep 2003,Bangladesh,Rawalpindi,0,0,0,0,0,17.0,24.0,17.0,1.0,0.0,100.0,10.0,0.0,32.0,0.0,3.2
21 Sep 2003,Bangladesh,Karachi,0,0,0,0,0,31.0,32.0,20.0,3.0,1.0,155.0,10.0,0.0,39.0,1.0,3.9
3 Oct 2003,South Africa,Lahore,0,0,0,0,0,82.0,51.0,41.0,6.0,6.0,200.0,10.0,0.0,47.0,0.0,4.7
5 Oct 2003,South Africa,Lahore,0,0,0,0,0,45.0,77.0,53.0,2.0,1.0,84.9,8.0,0.0,35.0,0.0,4.37
7 Oct 2003,South Africa,Faisalabad,0,0,0,0,0,18.0,38.0,24.0,2.0,0.0,75.0,10.0,0.0,42.0,1.0,4.2
10 Oct 2003,South Africa,Rawalpindi,0,0,0,0,0,5.0,18.0,11.0,0.0,0.0,45.45,10.0,0.0,29.0,1.0,2.9
12 Oct 2003,South Africa,Rawalpindi,0,0,0,0,0,20.0,36.0,29.0,0.0,0.0,68.96,4.0,0.0,20.0,0.0,5.0
29 Nov 2003,New Zealand,Lahore,0,0,0,0,0,9.0,26.0,18.0,0.0,0.0,50.0,10.0,0.0,42.0,1.0,4.2
1 Dec 2003,New Zealand,Lahore,1,1,0,0,1,23.0,28.0,22.0,2.0,0.0,104.54,8.0,1.0,36.0,1.0,4.5
3 Dec 2003,New Zealand,Faisalabad,0,0,0,0,0,15.0,8.0,7.0,1.0,1.0,214.28,10.0,0.0,64.0,0.0,6.4
5 Dec 2003,New Zealand,Rawalpindi,0,0,0,0,0,16.0,25.0,18.0,3.0,0.0,88.88,10.0,0.0,46.0,2.0,4.6
7 Dec 2003,New Zealand,Rawalpindi,0,0,0,0,0,4.0,0.0,5.0,0.0,0.0,80.0,10.0,0.0,33.0,0.0,3.3
3 Jan 2004,New Zealand,Auckland,0,0,0,0,0,4.0,35.0,26.0,0.0,0.0,15.38,10.0,1.0,28.0,2.0,2.8
7 Jan 2004,New Zealand,Queenstown,0,0,0,0,0,9.0,6.0,6.0,2.0,0.0,150.0,10.0,0.0,45.0,2.0,4.5
10 Jan 2004,New Zealand,Christchurch,0,0,0,0,0,0.0,13.0,9.0,0.0,0.0,0.0,8.0,0.0,40.0,1.0,5.0
14 Jan 2004,New Zealand,Napier,1,1,0,0,1,0.0,11.0,5.0,0.0,0.0,0.0,4.5,2.0,19.0,1.0,3.93
17 Jan 2004,New Zealand,Wellington,1,1,0,0,1,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,55.0,0.0,5.5
13 Mar 2004,India,Karachi,0,0,0,0,0,7.0,15.0,5.0,0.0,0.0,140.0,10.0,0.0,50.0,0.0,5.0
