Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
13 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,46.0,32.0,25.0,4.0,2.0,184.0,0.0,0.0,0.0,0.0,0.0
16 Jul 2018,Zimbabwe,Bulawayo,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,50.0,40.0,22.0,5.0,3.0,227.27,0.0,0.0,0.0,0.0,0.0
22 Jul 2018,Zimbabwe,Bulawayo,1,1,0,0,1,18.0,19.0,16.0,0.0,2.0,112.5,0.0,0.0,0.0,0.0,0.0
16 Sep 2018,Hong Kong,Dubai (DSC),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19 Sep 2018,India,Dubai (DSC),0,0,0,0,0,9.0,0.0,10.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0
21 Sep 2018,Afghanistan,Abu Dhabi,0,0,0,0,0,7.0,0.0,6.0,0.0,1.0,116.66,0.0,0.0,0.0,0.0,0.0
23 Sep 2018,India,Dubai (DSC),0,0,0,0,0,30.0,0.0,21.0,1.0,2.0,142.85,0.0,0.0,0.0,0.0,0.0
26 Sep 2018,Bangladesh,Abu Dhabi,0,0,0,0,0,31.0,0.0,47.0,3.0,0.0,65.95,0.0,0.0,0.0,0.0,0.0
11 Nov 2018,New Zealand,Dubai (DSC),0,0,0,0,0,9.0,0.0,6.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,0.0
8 May 2019,England,The Oval,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11 May 2019,England,Southampton,0,0,0,0,0,51.0,56.0,36.0,2.0,4.0,141.66,0.0,0.0,0.0,0.0,0.0
14 May 2019,England,Bristol,1,1,0,0,1,52.0,72.0,43.0,2.0,3.0,120.93,0.5,0.0,9.0,0.0,10.8
17 May 2019,England,Nottingham,0,0,0,0,0,17.0,15.0,12.0,1.0,1.0,141.66,0.0,0.0,0.0,0.0,0.0
19 May 2019,England,Leeds,1,1,0,0,1,22.0,40.0,17.0,2.0,0.0,129.41,0.0,0.0,0.0,0.0,0.0
3 Jun 2019,England,Nottingham,0,0,0,0,0,14.0,17.0,11.0,0.0,1.0,127.27,0.0,0.0,0.0,0.0,0.0
12 Jun 2019,Australia,Taunton,1,1,0,0,1,5.0,9.0,8.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
