Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
23 Apr 2011,West Indies,Gros Islet,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 Apr 2011,West Indies,Gros Islet,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28 Apr 2011,West Indies,Bridgetown,1,0,1,0,0,3.0,9.0,7.0,0.0,0.0,42.85,0.0,0.0,0.0,0.0,0.0
2 May 2011,West Indies,Bridgetown,1,1,0,1,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 May 2011,West Indies,Providence,0,0,0,0,0,19.0,48.0,30.0,2.0,0.0,63.33,0.0,0.0,0.0,0.0,0.0
28 May 2011,Ireland,Belfast,4,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30 May 2011,Ireland,Belfast,3,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
