Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
23 Apr 2011,West Indies,Gros Islet,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25 Apr 2011,West Indies,Gros Islet,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,26.0,1.0,5.2
28 Apr 2011,West Indies,Bridgetown,0,0,0,0,0,36.0,87.0,64.0,1.0,1.0,56.25,2.0,0.0,10.0,0.0,5.0
2 May 2011,West Indies,Bridgetown,0,0,0,0,0,1.0,8.0,6.0,0.0,0.0,16.66,1.0,0.0,9.0,0.0,9.0
30 May 2011,Ireland,Belfast,2,2,0,0,2,1.0,2.0,2.0,0.0,0.0,50.0,10.0,0.0,40.0,0.0,4.0
15 Mar 2012,Sri Lanka,Dhaka,0,0,0,0,0,4.0,2.0,5.0,1.0,0.0,80.0,4.0,0.0,21.0,1.0,5.25
18 Mar 2012,India,Dhaka,0,0,0,0,0,4.0,9.0,5.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
22 Mar 2012,Bangladesh,Dhaka,0,0,0,0,0,30.0,49.0,37.0,3.0,1.0,81.08,3.0,0.0,20.0,0.0,6.66
26 May 2015,Zimbabwe,Lahore,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,29.0,0.0,5.8
29 May 2015,Zimbabwe,Lahore,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,0.0,4.66
31 May 2015,Zimbabwe,Lahore,0,0,0,0,0,4.0,11.0,12.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0
