Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
22 May 2007,Sri Lanka,Abu Dhabi,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18 Nov 2007,India,Jaipur,0,0,0,0,0,32.0,29.0,23.0,2.0,1.0,139.13,10.0,0.0,56.0,0.0,5.6
30 Jan 2008,Zimbabwe,Faisalabad,0,0,0,0,0,12.0,31.0,17.0,1.0,0.0,70.58,10.0,0.0,45.0,1.0,4.5
2 Feb 2008,Zimbabwe,Sheikhupura,0,0,0,0,0,14.0,0.0,12.0,2.0,0.0,116.66,8.0,0.0,28.0,1.0,3.5
13 Apr 2008,Bangladesh,Lahore,0,0,0,0,0,2.0,9.0,5.0,0.0,0.0,40.0,6.0,0.0,32.0,0.0,5.33
16 Apr 2008,Bangladesh,Multan,2,2,0,0,2,5.0,0.0,3.0,1.0,0.0,166.66,4.0,0.0,26.0,0.0,6.5
8 Jun 2008,Bangladesh,Dhaka,0,0,0,0,0,2.0,9.0,7.0,0.0,0.0,28.57,6.0,0.0,34.0,0.0,5.66
14 Jun 2008,India,Dhaka,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,24.0,1.0,4.0
24 Jun 2008,Hong Kong,Karachi,0,0,0,0,0,63.0,129.0,77.0,3.0,0.0,81.81,2.2,0.0,8.0,1.0,3.42
26 Jun 2008,India,Karachi,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,64.0,0.0,9.14
12 Nov 2008,West Indies,Abu Dhabi,0,0,0,0,0,26.0,39.0,25.0,1.0,0.0,104.0,1.0,0.0,15.0,0.0,15.0
30 Jul 2009,Sri Lanka,Dambulla,0,0,0,0,0,31.0,69.0,58.0,2.0,0.0,53.44,0.0,0.0,0.0,0.0,0.0
1 Aug 2009,Sri Lanka,Dambulla,0,0,0,0,0,10.0,25.0,24.0,0.0,0.0,41.66,0.0,0.0,0.0,0.0,0.0
3 Aug 2009,Sri Lanka,Dambulla,1,1,0,0,1,13.0,50.0,33.0,1.0,0.0,39.39,0.0,0.0,0.0,0.0,0.0
26 Jan 2010,Australia,Adelaide,0,0,0,0,0,33.0,95.0,52.0,1.0,0.0,63.46,0.0,0.0,0.0,0.0,0.0
29 Jan 2010,Australia,Perth,0,0,0,0,0,21.0,70.0,52.0,0.0,0.0,40.38,0.0,0.0,0.0,0.0,0.0
31 Jan 2010,Australia,Perth,1,1,0,0,1,63.0,110.0,70.0,4.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
10 Sep 2010,England,Chester-le-Street,1,1,0,0,1,39.0,42.0,39.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
12 Sep 2010,England,Leeds,0,0,0,0,0,20.0,27.0,16.0,2.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0
17 Sep 2010,England,The Oval,0,0,0,0,0,64.0,115.0,86.0,3.0,0.0,74.41,0.0,0.0,0.0,0.0,0.0
20 Sep 2010,England,Lord's,1,1,0,0,1,29.0,54.0,52.0,1.0,0.0,55.76,0.0,0.0,0.0,0.0,0.0
22 Sep 2010,England,Southampton,0,0,0,0,0,1.0,6.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
29 Oct 2010,South Africa,Abu Dhabi,0,0,0,0,0,9.0,29.0,13.0,0.0,0.0,69.23,0.0,0.0,0.0,0.0,0.0
31 Oct 2010,South Africa,Abu Dhabi,1,1,0,0,1,48.0,113.0,68.0,3.0,0.0,70.58,0.0,0.0,0.0,0.0,0.0
2 Nov 2010,South Africa,Dubai (DSC),1,1,0,0,1,59.0,110.0,67.0,3.0,0.0,88.05,0.0,0.0,0.0,0.0,0.0
5 Nov 2010,South Africa,Dubai (DSC),0,0,0,0,0,6.0,0.0,8.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
8 Nov 2010,South Africa,Dubai (DSC),0,0,0,0,0,1.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
4 Mar 2014,Bangladesh,Dhaka,0,0,0,0,0,74.0,130.0,70.0,4.0,2.0,105.71,2.0,0.0,12.0,0.0,6.0
8 Mar 2014,Sri Lanka,Dhaka,0,0,0,0,0,114.0,199.0,134.0,8.0,3.0,85.07,0.0,0.0,0.0,0.0,0.0
23 Aug 2014,Sri Lanka,Hambantota,0,0,0,0,0,62.0,105.0,61.0,7.0,0.0,101.63,1.0,0.0,10.0,0.0,10.0
