Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
7 Jun 2017,South Africa,Birmingham,0,0,0,0,0,31.0,30.0,23.0,6.0,0.0,134.78,0.0,0.0,0.0,0.0,0.0
12 Jun 2017,Sri Lanka,Cardiff,1,1,0,0,1,50.0,56.0,36.0,8.0,1.0,138.88,0.0,0.0,0.0,0.0,0.0
14 Jun 2017,England,Cardiff,1,1,0,0,1,57.0,89.0,58.0,7.0,1.0,98.27,0.0,0.0,0.0,0.0,0.0
18 Jun 2017,India,The Oval,0,0,0,0,0,114.0,142.0,106.0,12.0,3.0,107.54,3.3,0.0,25.0,0.0,7.14
13 Oct 2017,Sri Lanka,Dubai (DSC),0,0,0,0,0,43.0,0.0,45.0,4.0,1.0,95.55,0.0,0.0,0.0,0.0,0.0
16 Oct 2017,Sri Lanka,Abu Dhabi,0,0,0,0,0,11.0,0.0,13.0,2.0,0.0,84.61,0.0,0.0,0.0,0.0,0.0
18 Oct 2017,Sri Lanka,Abu Dhabi,2,2,0,0,2,29.0,0.0,40.0,2.0,1.0,72.5,0.0,0.0,0.0,0.0,0.0
20 Oct 2017,Sri Lanka,Sharjah,1,1,0,0,1,17.0,0.0,30.0,2.0,0.0,56.66,0.0,0.0,0.0,0.0,0.0
23 Oct 2017,Sri Lanka,Sharjah,1,1,0,0,1,48.0,0.0,47.0,7.0,0.0,102.12,0.0,0.0,0.0,0.0,0.0
6 Jan 2018,New Zealand,Wellington,0,0,0,0,0,82.0,132.0,86.0,5.0,4.0,95.34,3.0,0.0,19.0,1.0,6.33
13 Jan 2018,New Zealand,Dunedin,1,1,0,0,1,2.0,15.0,7.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0
16 Jan 2018,New Zealand,Hamilton,0,0,0,0,0,54.0,87.0,75.0,7.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0
19 Jan 2018,New Zealand,Wellington,1,1,0,0,1,12.0,22.0,17.0,2.0,0.0,70.58,0.0,0.0,0.0,0.0,0.0
13 Jul 2018,Zimbabwe,Bulawayo,2,2,0,0,2,60.0,94.0,70.0,7.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0
16 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,117.0,144.0,129.0,16.0,0.0,90.69,3.0,0.0,11.0,0.0,3.66
18 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,43.0,51.0,24.0,8.0,0.0,179.16,0.0,0.0,0.0,0.0,0.0
20 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,210.0,221.0,156.0,24.0,5.0,134.61,0.0,0.0,0.0,0.0,0.0
22 Jul 2018,Zimbabwe,Bulawayo,0,0,0,0,0,85.0,107.0,83.0,10.0,1.0,102.4,0.0,0.0,0.0,0.0,0.0
16 Sep 2018,Hong Kong,Dubai (DSC),0,0,0,0,0,24.0,0.0,27.0,2.0,1.0,88.88,0.3,0.0,0.0,0.0,0.0
19 Sep 2018,India,Dubai (DSC),0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,6.3,0.0,25.0,0.0,3.84
21 Sep 2018,Afghanistan,Abu Dhabi,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 Sep 2018,India,Dubai (DSC),0,0,0,0,0,31.0,0.0,44.0,1.0,1.0,70.45,0.0,0.0,0.0,0.0,0.0
26 Sep 2018,Bangladesh,Abu Dhabi,2,2,0,0,2,1.0,0.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
7 Nov 2018,New Zealand,Abu Dhabi,0,0,0,0,0,1.0,0.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
9 Nov 2018,New Zealand,Abu Dhabi,0,0,0,0,0,88.0,0.0,88.0,11.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
11 Nov 2018,New Zealand,Dubai (DSC),0,0,0,0,0,65.0,0.0,77.0,8.0,0.0,84.41,0.0,0.0,0.0,0.0,0.0
19 Jan 2019,South Africa,Port Elizabeth,0,0,0,0,0,25.0,35.0,23.0,3.0,1.0,108.69,2.0,0.0,8.0,0.0,4.0
22 Jan 2019,South Africa,Durban,0,0,0,0,0,26.0,65.0,44.0,3.0,0.0,59.09,0.0,0.0,0.0,0.0,0.0
25 Jan 2019,South Africa,Centurion,0,0,0,0,0,2.0,12.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
27 Jan 2019,South Africa,Johannesburg,0,0,0,0,0,44.0,55.0,44.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
30 Jan 2019,South Africa,Cape Town,0,0,0,0,0,70.0,112.0,73.0,10.0,0.0,95.89,0.0,0.0,0.0,0.0,0.0
8 May 2019,England,The Oval,0,0,0,0,0,3.0,0.0,11.0,0.0,0.0,27.27,0.0,0.0,0.0,0.0,0.0
11 May 2019,England,Southampton,1,1,0,0,1,138.0,136.0,106.0,12.0,4.0,130.18,0.0,0.0,0.0,0.0,0.0
14 May 2019,England,Bristol,0,0,0,0,0,2.0,5.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
17 May 2019,England,Nottingham,1,1,0,0,1,57.0,87.0,50.0,5.0,2.0,114.0,0.0,0.0,0.0,0.0,0.0
19 May 2019,England,Leeds,2,2,0,0,2,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,5.75
31 May 2019,West Indies,Nottingham,0,0,0,0,0,22.0,27.0,16.0,2.0,1.0,137.5,0.0,0.0,0.0,0.0,0.0
3 Jun 2019,England,Nottingham,1,1,0,0,1,36.0,63.0,40.0,6.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
12 Jun 2019,Australia,Taunton,0,0,0,0,0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Jun 2019,India,Manchester,0,0,0,0,0,62.0,112.0,75.0,7.0,1.0,82.66,0.0,0.0,0.0,0.0,0.0
23 Jun 2019,South Africa,Lord's,0,0,0,0,0,44.0,94.0,50.0,6.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0
26 Jun 2019,New Zealand,Birmingham,0,0,0,0,0,9.0,13.0,10.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
29 Jun 2019,Afghanistan,Leeds,1,1,0,0,1,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Jul 2019,Bangladesh,Lord's,1,1,0,0,1,13.0,27.0,31.0,1.0,0.0,41.93,0.0,0.0,0.0,0.0,0.0
30 Sep 2019,Sri Lanka,Karachi,2,2,0,0,2,54.0,0.0,65.0,6.0,1.0,83.07,0.0,0.0,0.0,0.0,0.0
2 Oct 2019,Sri Lanka,Karachi,0,0,0,0,0,76.0,0.0,91.0,7.0,1.0,83.51,0.0,0.0,0.0,0.0,0.0
