Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
30 May 2011,Ireland,Belfast,0,0,0,0,0,39.0,83.0,65.0,4.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
15 Feb 2012,England,Abu Dhabi,0,0,0,0,0,31.0,69.0,50.0,3.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
18 Feb 2012,England,Dubai (DSC),0,0,0,0,0,5.0,22.0,13.0,0.0,0.0,38.46,0.0,0.0,0.0,0.0,0.0
21 Feb 2012,England,Dubai (DSC),1,1,0,0,1,58.0,128.0,89.0,5.0,0.0,65.16,0.0,0.0,0.0,0.0,0.0
7 Jun 2012,Sri Lanka,Pallekele,0,0,0,0,0,3.0,10.0,2.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
9 Jun 2012,Sri Lanka,Pallekele,0,0,0,0,0,96.0,156.0,119.0,12.0,0.0,80.67,0.0,0.0,0.0,0.0,0.0
13 Jun 2012,Sri Lanka,Colombo (RPS),0,0,0,0,0,7.0,25.0,14.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
16 Jun 2012,Sri Lanka,Colombo (RPS),1,1,0,0,1,81.0,217.0,126.0,4.0,1.0,64.28,0.0,0.0,0.0,0.0,0.0
18 Jun 2012,Sri Lanka,Colombo (RPS),0,0,0,0,0,30.0,84.0,49.0,3.0,0.0,61.22,0.0,0.0,0.0,0.0,0.0
28 Aug 2012,Australia,Sharjah,0,0,0,0,0,5.0,8.0,6.0,1.0,0.0,83.33,3.0,0.0,12.0,0.0,4.0
31 Aug 2012,Australia,Abu Dhabi,0,0,0,0,0,59.0,172.0,86.0,4.0,0.0,68.6,2.0,0.0,14.0,0.0,7.0
3 Sep 2012,Australia,Sharjah,0,0,0,0,0,27.0,51.0,30.0,2.0,0.0,90.0,3.0,0.0,15.0,0.0,5.0
30 Dec 2012,India,Chennai,0,0,0,0,0,9.0,44.0,38.0,0.0,0.0,23.68,0.0,0.0,0.0,0.0,0.0
3 Jan 2013,India,Kolkata,0,0,0,0,0,2.0,7.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
17 Apr 2015,Bangladesh,Dhaka,0,0,0,0,0,72.0,118.0,73.0,7.0,0.0,98.63,3.0,0.0,17.0,0.0,5.66
19 Apr 2015,Bangladesh,Dhaka,0,0,0,0,0,36.0,69.0,60.0,5.0,0.0,60.0,3.0,0.0,20.0,0.0,6.66
22 Apr 2015,Bangladesh,Dhaka,0,0,0,0,0,101.0,166.0,112.0,10.0,0.0,90.17,1.0,0.0,7.0,0.0,7.0
26 May 2015,Zimbabwe,Lahore,0,0,0,0,0,79.0,117.0,76.0,9.0,2.0,103.94,0.0,0.0,0.0,0.0,0.0
29 May 2015,Zimbabwe,Lahore,0,0,0,0,0,102.0,171.0,104.0,8.0,0.0,98.07,0.0,0.0,0.0,0.0,0.0
31 May 2015,Zimbabwe,Lahore,0,0,0,0,0,46.0,87.0,59.0,4.0,1.0,77.96,0.0,0.0,0.0,0.0,0.0
11 Jul 2015,Sri Lanka,Dambulla,0,0,0,0,0,21.0,40.0,29.0,3.0,0.0,72.41,0.0,0.0,0.0,0.0,0.0
15 Jul 2015,Sri Lanka,Pallekele,0,0,0,0,0,79.0,160.0,104.0,6.0,0.0,75.96,0.0,0.0,0.0,0.0,0.0
19 Jul 2015,Sri Lanka,Colombo (RPS),1,1,0,0,1,49.0,107.0,59.0,4.0,0.0,83.05,0.0,0.0,0.0,0.0,0.0
22 Jul 2015,Sri Lanka,Colombo (RPS),0,0,0,0,0,33.0,52.0,28.0,4.0,0.0,117.85,2.0,0.0,13.0,0.0,6.5
26 Jul 2015,Sri Lanka,Hambantota,0,0,0,0,0,35.0,57.0,42.0,5.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0
1 Oct 2015,Zimbabwe,Harare,0,0,0,0,0,11.0,25.0,22.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
3 Oct 2015,Zimbabwe,Harare,0,0,0,0,0,1.0,14.0,11.0,0.0,0.0,9.09,4.0,0.0,22.0,0.0,5.5
11 Nov 2015,England,Abu Dhabi,1,1,0,0,1,8.0,10.0,10.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
13 Nov 2015,England,Abu Dhabi,0,0,0,0,0,22.0,77.0,45.0,1.0,0.0,48.88,0.0,0.0,0.0,0.0,0.0
17 Nov 2015,England,Sharjah,0,0,0,0,0,36.0,78.0,54.0,1.0,1.0,66.66,2.0,0.0,8.0,0.0,4.0
